surface,t_s,tau,sigma,coverage,mAP50,mAP50_95
Untreated glass,0,1.0,0.0,0.0,0.0869508263481569,0.0458993838648608
Untreated glass,60,0.329491,8.0,0.262906,0.0643110186008547,0.0322056747157559
Untreated glass,120,0.390291,8.0,0.283976,0.0392746934317962,0.0190100098999578
Untreated glass,180,0.433913,8.0,0.28432,0.0333259192685626,0.0170506963340371
Untreated glass,300,0.993476,8.0,0.002674,0.086883625782328,0.0458949641052881
Untreated glass,450,0.999983,8.0,8e-06,0.086862347341422,0.0458759217469735
Untreated glass,600,1.0,8.0,0.0,0.086840224628947,0.04588421602562
Hydrophilic coat,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophilic coat,60,0.617951,8.0,0.266094,0.046,0.025
Hydrophilic coat,120,0.663944,8.0,0.284031,0.0462,0.025
Hydrophilic coat,180,0.694886,8.0,0.284321,0.0465,0.025
Hydrophilic coat,300,1.0,8.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophilic coat,450,1.0,8.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophilic coat,600,1.0,8.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,60,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,120,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,180,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,300,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,450,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,600,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,60,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,120,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,180,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,300,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,450,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,600,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
